RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023
85874,1003,63031,zip,MO,MO,Florissant,"St. Louis, MO-IL",Saint Louis County,1012.149783,1027.462747,1032.856794,987.5790376,989.9411682,999.5070735,984.8973051,988.2998874,987.0101575,995.9562487,981.5466183,967.7744915,971.7223319,983.5217334,997.8897669,999.3656618,1006.035562,1000.889362,995.2117019,994.1204079,1002.443466,1003.806439,998.4750497,997.7836408,1003.860031,1010.018127,1006.648744,1006.612647,1010.158484,1010.756628,1014.100875,1013.539925,1023.080853,1017.050232,1014.243698,1018.442836,1018.950155,1022.614142,1019.347548,1029.546806,1033.053071,1031.426867,1030.254525,1030.136239,1047.662538,1065.926737,1073.788357,1059.457386,1052.591891,1030.488903,1041.631643,1047.015414,1071.760594,1074.961739,1065.484519,1066.478471,1058.920732,1066.540453,1082.181326,1093.445444,1100.598757,1093.429737,1095.619324,1105.166819,1116.077271,1113.69739,1121.282834,1137.154922,1166.171244,1172.872933,1170.937223,1161.978968,1159.096458,1173.87728,1180.318589,1185.875925,1185.390008,1180.071685,1193.119431,1209.676472,1250.985251,1267.818695,1282.075466,1302.421221,1282.695824,1284.647029,1296.66586,1350.475648,1359.873537,1349.525999,1342.014608,1337.189593,1344.554982,1345.930718,1375.129756,1379.286202,1405.695773,1388.797727
98004,1004,95136,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2680.76355,2685.558676,2722.808824,2736.621777,2751.957412,2755.077422,2808.005934,2831.257243,2834.042947,2797.097915,2812.873929,2822.862626,2799.79986,2784.017874,2784.706643,2816.309093,2837.425188,2883.83875,2915.121185,2935.829081,2869.517363,2811.003259,2780.99497,2872.060323,2886.877724,2922.587207,2933.623679,2988.18886,2984.149095,2943.119014,2951.207764,2893.370508,2890.004945,2849.00106,2877.56705,2853.061192,2862.73471,2852.52242,2834.742797,2848.929711,2871.177633,2914.401828,2931.523895,2970.825584,2998.016918,3013.349375,3033.110485,3055.821897,3064.504344,3055.801494,3075.664894,3168.123724,3210.451792,3305.716921,3334.9029,3398.488657,3345.801985,3270.344389,3194.726642,3128.964302,3132.302774,3181.106647,3266.720491,3332.954882
99947,1005,98661,zip,WA,WA,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",Clark County,,,,,,,,,,,,,990.1630952,1002.042204,1008.344412,1015.954221,1026.133361,1033.025046,1050.871074,1044.105176,1046.20382,1051.455,1075.899098,1080.36043,1092.767918,1085.134317,1099.240541,1109.521288,1122.867871,1126.666332,1119.640458,1121.490159,1125.850816,1132.200268,1128.909206,1125.610535,1127.081087,1133.959859,1138.535832,1147.065534,1162.165185,1179.331196,1203.395428,1190.336529,1183.448193,1176.339882,1190.527032,1194.206144,1195.977605,1198.674583,1206.254089,1208.610129,1216.689316,1224.466742,1237.059727,1237.898073,1230.097703,1228.738711,1222.926996,1229.316722,1228.630757,1237.601428,1234.942487,1237.024889,1249.513098,1267.769811,1281.180997,1295.989946,1315.132905,1319.026894,1323.700205,1317.315273,1326.602754,1334.575338,1355.725753,1346.519918,1382.82547,1417.853152,1460.799735,1478.196656,1492.892582,1528.731263,1531.328423,1533.290886,1534.823855,1548.837873,1577.835973,1616.387639,1608.212468,1608.874405,1610.661498,1625.309725,1613.94483,1625.018271,1641.863159,1672.106574,1669.044114,1689.144444
70806,1006,30019,zip,GA,GA,Dacula,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,1367.662592,1359.22371,1368.114627,1375.980713,1399.414044,1419.431719,1428.158946,1425.959991,1413.343361,1414.47754,1420.208202,1423.381928,1438.817828,1441.835975,1452.148897,1456.548537,1464.352884,1481.619825,1471.693591,1468.499369,1456.531406,1471.871404,1473.506585,1487.323001,1470.829376,1473.933141,1484.845866,1533.786538,1549.309316,1557.13749,1552.377037,1557.327233,1557.743203,1555.865765,1553.627957,1559.99745,1564.517589,1576.237493,1588.687026,1605.733088,1629.309073,1639.246937,1631.146022,1623.697762,1611.876114,1610.492609,1622.19341,1630.540054,1635.411727,1625.517289,1653.470767,1660.734352,1674.944426,1677.041781,1689.10111,1686.677359,1655.272517,1658.200723,1665.699765,1695.385305,1707.493647,1731.042399,1733.495261,1742.285208,1745.866523,1770.079594,1789.802812,1816.387178,1834.600641,1859.007894,1894.963442,1895.551611,1897.395337,1929.816054,1979.20784,2040.629653,2052.154481,2094.433689,2119.065179,2136.442847,2142.280364,2170.576499,2180.831142,2175.479405,2155.746707,2166.168949,2212.078875,2219.26487,2252.70347,2276.858437,2290.233738,2266.734651,2216.650221,2226.57086,2256.804767,2309.308573,2318.882675,2325.190476
78467,1007,47150,zip,IN,IN,New Albany,"Louisville/Jefferson County, KY-IN",Floyd County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.723171,,1021.696962,976.3264062,953.8307114,974.1913326,986.7112588,990.9910528,1015.833333
70532,1008,29526,zip,SC,SC,Conway,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1585
85941,1009,63123,zip,MO,MO,Affton,"St. Louis, MO-IL",Saint Louis County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225.253571,1255.025108,1266.971794,1276.459105,1283.631182,1286.187165,1314.199282,1299.511143,1294.103733,1281.687797,,1345.114957,1382.283732,1378.473922,1398.402054,1435.192351,1480.42067,1494.034359,1455.651312,1445.066994,1406.648331,1472.11044,1482.789239,1504.02465,1477.702031,1503.055556
94480,1011,84120,zip,UT,UT,West Valley City,"Salt Lake City, UT",Salt Lake County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724.955296,1786.99454,1818.527683,1864.518064,1802.468327,1764.24143,1755.903355,1787.909058,1789.871851,1781.884346,1782.85
84642,1012,60643,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.5
97365,1013,93619,zip,CA,CA,Clovis,"Fresno, CA",Fresno County,,,,,,,,,,,,,,,,,,,1608.832405,1612.8174,1610.261464,1591.251956,1599.984475,1605.154906,1637.379655,1656.21232,1668.88027,1679.43788,1673.657891,1683.554182,1692.272439,1697.967773,1686.71639,1668.713768,1671.514411,1671.833264,1685.884671,1693.795506,1710.773134,1729.476513,1747.412728,1759.237789,1736.807852,1733.866291,1725.248015,1739.56167,1737.633579,1758.136074,1771.973736,1782.682482,1776.47441,1799.354678,1805.625116,1803.446726,1780.795283,1781.622012,1818.321718,1852.955133,1849.971299,1822.095928,1809.679173,1800.514713,1814.698376,1813.575599,1857.313726,1868.376033,,1895.786978,1895.851498,1899.245806,1924.897283,1979.048226,1994.911659,2028.513114,2037.149089,2077.769027,2127.924684,2184.446292,2242.132656,,2292.968782,2280.975183,2256.265122,2248.350737,2245.266413,2278.354173,2298.001112,2309.545756,2305.495726,2321.269184,2360.62993,2349.859212,2347.847338,2334.695879,2355.434584,2363.606921,2362.93503,2367.291667
